"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.56,1.29,"rcp45",2035,2065,2050,1991,"relative","ACCESS1-0"
1.42,0.89,"rcp45",2035,2065,2050,1991,"relative","ACCESS1-0"
1.17,1.13,"rcp45",2035,2065,2050,1991,"relative","ACCESS1-0"
0.79,0.37,"rcp45",2035,2065,2050,1991,"relative","ACCESS1-0"
0.92,0.92,"rcp45",2035,2065,2050,1991,"relative","ACCESS1-0"
0.95,0.83,"rcp45",2035,2065,2050,1991,"relative","ACCESS1-0"
0.92,0.99,"rcp45",2035,2065,2050,1991,"relative","ACCESS1-0"
0.71,0.91,"rcp45",2035,2065,2050,1991,"relative","ACCESS1-0"
0.65,1.02,"rcp45",2035,2065,2050,1991,"relative","ACCESS1-0"
1.26,1.34,"rcp45",2035,2065,2050,1991,"relative","ACCESS1-0"
1.67,1.51,"rcp45",2035,2065,2050,1991,"relative","ACCESS1-0"
1.29,1.06,"rcp45",2035,2065,2050,1991,"relative","ACCESS1-0"
