"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
0.67,-1.04,"rcp85",2070,2100,2085,1991,"relative","GFDL-CM3"
0.31,-1.39,"rcp85",2070,2100,2085,1991,"relative","GFDL-CM3"
0.08,-1.45,"rcp85",2070,2100,2085,1991,"relative","GFDL-CM3"
0.64,-0.83,"rcp85",2070,2100,2085,1991,"relative","GFDL-CM3"
1,-0.57,"rcp85",2070,2100,2085,1991,"relative","GFDL-CM3"
0.92,-0.31,"rcp85",2070,2100,2085,1991,"relative","GFDL-CM3"
1.19,-0.03,"rcp85",2070,2100,2085,1991,"relative","GFDL-CM3"
1.32,0.39,"rcp85",2070,2100,2085,1991,"relative","GFDL-CM3"
1.49,0.31,"rcp85",2070,2100,2085,1991,"relative","GFDL-CM3"
1.08,-0.11,"rcp85",2070,2100,2085,1991,"relative","GFDL-CM3"
1.26,-0.08,"rcp85",2070,2100,2085,1991,"relative","GFDL-CM3"
1.22,-0.38,"rcp85",2070,2100,2085,1991,"relative","GFDL-CM3"
