"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.13,2.75,"rcp85",2070,2100,2085,1991,"relative","BNU-ESM"
3.37,2.82,"rcp85",2070,2100,2085,1991,"relative","BNU-ESM"
3.31,2.68,"rcp85",2070,2100,2085,1991,"relative","BNU-ESM"
3.5,2.8,"rcp85",2070,2100,2085,1991,"relative","BNU-ESM"
2.9,2.68,"rcp85",2070,2100,2085,1991,"relative","BNU-ESM"
3.2,2.95,"rcp85",2070,2100,2085,1991,"relative","BNU-ESM"
3.07,2.79,"rcp85",2070,2100,2085,1991,"relative","BNU-ESM"
3.03,3.03,"rcp85",2070,2100,2085,1991,"relative","BNU-ESM"
2.68,2.61,"rcp85",2070,2100,2085,1991,"relative","BNU-ESM"
2.75,2.44,"rcp85",2070,2100,2085,1991,"relative","BNU-ESM"
2.97,2.63,"rcp85",2070,2100,2085,1991,"relative","BNU-ESM"
3.06,2.7,"rcp85",2070,2100,2085,1991,"relative","BNU-ESM"
