"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
0.93,0.82,"rcp45",2035,2065,2050,1991,"relative","CESM1-BGC"
0.99,0.78,"rcp45",2035,2065,2050,1991,"relative","CESM1-BGC"
0.82,0.72,"rcp45",2035,2065,2050,1991,"relative","CESM1-BGC"
0.77,0.7,"rcp45",2035,2065,2050,1991,"relative","CESM1-BGC"
0.85,0.9,"rcp45",2035,2065,2050,1991,"relative","CESM1-BGC"
0.71,0.85,"rcp45",2035,2065,2050,1991,"relative","CESM1-BGC"
0.83,0.49,"rcp45",2035,2065,2050,1991,"relative","CESM1-BGC"
0.84,0.77,"rcp45",2035,2065,2050,1991,"relative","CESM1-BGC"
1.05,0.84,"rcp45",2035,2065,2050,1991,"relative","CESM1-BGC"
1.14,1.15,"rcp45",2035,2065,2050,1991,"relative","CESM1-BGC"
0.84,0.87,"rcp45",2035,2065,2050,1991,"relative","CESM1-BGC"
1,0.79,"rcp45",2035,2065,2050,1991,"relative","CESM1-BGC"
