"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.51,2.15,"rcp85",2070,2100,2085,1991,"relative","CNRM-CM5"
2.53,1.76,"rcp85",2070,2100,2085,1991,"relative","CNRM-CM5"
2.19,1.65,"rcp85",2070,2100,2085,1991,"relative","CNRM-CM5"
2.66,2.17,"rcp85",2070,2100,2085,1991,"relative","CNRM-CM5"
2.42,1.98,"rcp85",2070,2100,2085,1991,"relative","CNRM-CM5"
2.48,2.21,"rcp85",2070,2100,2085,1991,"relative","CNRM-CM5"
2.19,1.98,"rcp85",2070,2100,2085,1991,"relative","CNRM-CM5"
1.93,1.78,"rcp85",2070,2100,2085,1991,"relative","CNRM-CM5"
2.28,2.13,"rcp85",2070,2100,2085,1991,"relative","CNRM-CM5"
2.49,2.16,"rcp85",2070,2100,2085,1991,"relative","CNRM-CM5"
2.37,2.04,"rcp85",2070,2100,2085,1991,"relative","CNRM-CM5"
2.23,1.96,"rcp85",2070,2100,2085,1991,"relative","CNRM-CM5"
