"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
-0.01,-0.14,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2G"
0.06,0.05,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2G"
-0.05,-0.01,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2G"
-0.09,0.1,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2G"
-0.24,-0.03,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2G"
0.12,0.06,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2G"
0.36,0.13,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2G"
0.13,0.11,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2G"
0.1,0.19,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2G"
0.42,0.41,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2G"
-0.06,-0.12,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2G"
0.08,0.06,"rcp45",2070,2100,2085,1991,"relative","GFDL-ESM2G"
