"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.5,1.62,"rcp85",2035,2065,2050,1991,"relative","bcc-csm1-1"
1.52,1.63,"rcp85",2035,2065,2050,1991,"relative","bcc-csm1-1"
1.18,1.37,"rcp85",2035,2065,2050,1991,"relative","bcc-csm1-1"
1.36,1.27,"rcp85",2035,2065,2050,1991,"relative","bcc-csm1-1"
1.43,1.55,"rcp85",2035,2065,2050,1991,"relative","bcc-csm1-1"
1.1,1.2,"rcp85",2035,2065,2050,1991,"relative","bcc-csm1-1"
1.14,1.17,"rcp85",2035,2065,2050,1991,"relative","bcc-csm1-1"
1.19,1.26,"rcp85",2035,2065,2050,1991,"relative","bcc-csm1-1"
0.94,0.95,"rcp85",2035,2065,2050,1991,"relative","bcc-csm1-1"
1.4,1.41,"rcp85",2035,2065,2050,1991,"relative","bcc-csm1-1"
1.47,1.74,"rcp85",2035,2065,2050,1991,"relative","bcc-csm1-1"
1.41,1.55,"rcp85",2035,2065,2050,1991,"relative","bcc-csm1-1"
