"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.58,1.4,"rcp45",2035,2065,2050,1991,"relative","CanESM2"
1.52,1.26,"rcp45",2035,2065,2050,1991,"relative","CanESM2"
1.42,1.24,"rcp45",2035,2065,2050,1991,"relative","CanESM2"
1.35,1.25,"rcp45",2035,2065,2050,1991,"relative","CanESM2"
1.09,0.96,"rcp45",2035,2065,2050,1991,"relative","CanESM2"
1.14,1.2,"rcp45",2035,2065,2050,1991,"relative","CanESM2"
1.06,1.12,"rcp45",2035,2065,2050,1991,"relative","CanESM2"
1.13,1.08,"rcp45",2035,2065,2050,1991,"relative","CanESM2"
0.97,0.94,"rcp45",2035,2065,2050,1991,"relative","CanESM2"
1.49,1.42,"rcp45",2035,2065,2050,1991,"relative","CanESM2"
1.63,1.54,"rcp45",2035,2065,2050,1991,"relative","CanESM2"
1.61,1.4,"rcp45",2035,2065,2050,1991,"relative","CanESM2"
