"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.41,1.54,"rcp45",2035,2065,2050,1991,"relative","MIROC-ESM"
1.2,1.3,"rcp45",2035,2065,2050,1991,"relative","MIROC-ESM"
1.32,1.5,"rcp45",2035,2065,2050,1991,"relative","MIROC-ESM"
1,1.33,"rcp45",2035,2065,2050,1991,"relative","MIROC-ESM"
0.93,1.11,"rcp45",2035,2065,2050,1991,"relative","MIROC-ESM"
0.94,1.31,"rcp45",2035,2065,2050,1991,"relative","MIROC-ESM"
1.05,1.4,"rcp45",2035,2065,2050,1991,"relative","MIROC-ESM"
0.94,1.21,"rcp45",2035,2065,2050,1991,"relative","MIROC-ESM"
1.09,1.29,"rcp45",2035,2065,2050,1991,"relative","MIROC-ESM"
1.18,1.37,"rcp45",2035,2065,2050,1991,"relative","MIROC-ESM"
1.46,1.62,"rcp45",2035,2065,2050,1991,"relative","MIROC-ESM"
1.53,1.57,"rcp45",2035,2065,2050,1991,"relative","MIROC-ESM"
