"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.43,1.06,"rcp85",2035,2065,2050,1991,"relative","inmcm4"
1.42,1.25,"rcp85",2035,2065,2050,1991,"relative","inmcm4"
1.14,1.04,"rcp85",2035,2065,2050,1991,"relative","inmcm4"
1,0.73,"rcp85",2035,2065,2050,1991,"relative","inmcm4"
0.69,0.64,"rcp85",2035,2065,2050,1991,"relative","inmcm4"
0.96,0.73,"rcp85",2035,2065,2050,1991,"relative","inmcm4"
0.92,1.29,"rcp85",2035,2065,2050,1991,"relative","inmcm4"
0.98,1.46,"rcp85",2035,2065,2050,1991,"relative","inmcm4"
1.77,1.59,"rcp85",2035,2065,2050,1991,"relative","inmcm4"
1.7,1.54,"rcp85",2035,2065,2050,1991,"relative","inmcm4"
1.76,1.56,"rcp85",2035,2065,2050,1991,"relative","inmcm4"
1.57,1.48,"rcp85",2035,2065,2050,1991,"relative","inmcm4"
