"","x"
"1",40.5138147244476
"2",199.722028620816
"3",0.18019167088005
"4",24.9705987499286
"5",3372.29197129426
"6",9917.7138505556
"7",6025.86771429559
"8",59399390210327.9
"9",4.10986155480892
"10",25.1290162887307
"11",4.0853550889218
"12",28.5946955789951
