"DATE","Year","Month","Day","Tmin","Tmax","Tmean","Prec"
1977-04-15 12:00:00,1977,4,15,17,22,18.4444444444444,4.064
1977-04-16 12:00:00,1977,4,16,14,22,17.2777777777778,0
1977-04-17 12:00:00,1977,4,17,14,20,16.7222222222222,0
1977-04-18 12:00:00,1977,4,18,14,20,16.8333333333333,0
1977-04-19 12:00:00,1977,4,19,NA,NA,NA,NA
1977-04-20 12:00:00,1977,4,20,15,18,16,NA
1977-04-21 12:00:00,1977,4,21,13,19,16.1666666666667,2.032
1977-04-22 12:00:00,1977,4,22,13,19,15.6111111111111,6.096
1977-04-23 12:00:00,1977,4,23,14,18,16,0
1977-04-24 12:00:00,1977,4,24,11,24,17.1666666666667,0
1977-04-25 12:00:00,1977,4,25,11,27,18.5555555555556,0
1977-04-26 12:00:00,1977,4,26,15,22,18.2777777777778,0
1977-04-27 12:00:00,1977,4,27,11,23,16,0
1977-04-28 12:00:00,1977,4,28,13,21,16.6666666666667,0
1977-04-29 12:00:00,1977,4,29,10,25,16.7222222222222,0
1977-04-30 12:00:00,1977,4,30,15,22,17.7222222222222,0
1977-05-01 12:00:00,1977,5,1,14,19,16.5555555555556,0
1977-05-02 12:00:00,1977,5,2,13,18,15.8333333333333,3.048
1977-05-03 12:00:00,1977,5,3,13,16,14.1666666666667,18.034
1977-05-04 12:00:00,1977,5,4,14,18,15.3888888888889,10.922
1977-05-05 12:00:00,1977,5,5,10,18,14.1666666666667,0
1977-05-06 12:00:00,1977,5,6,10,13,12.3888888888889,NA
1977-05-07 12:00:00,1977,5,7,8,16,12,2.032
1977-05-08 12:00:00,1977,5,8,11,16,13,0
1977-05-09 12:00:00,1977,5,9,15,20,17,0
1977-05-10 12:00:00,1977,5,10,10,19,13.8333333333333,0
1977-05-11 12:00:00,1977,5,11,13,14,13.3333333333333,0
1977-05-12 12:00:00,1977,5,12,11,14,12.7777777777778,NA
1977-05-13 12:00:00,1977,5,13,11,13,12.3888888888889,NA
1977-05-14 12:00:00,1977,5,14,12,15,13.8888888888889,3.048
1977-05-15 12:00:00,1977,5,15,14,16,15,23.876
1977-05-16 12:00:00,1977,5,16,14,18,15.5555555555556,13.97
1977-05-17 12:00:00,1977,5,17,10,18,14.1666666666667,0
1977-05-18 12:00:00,1977,5,18,7,18,13.1666666666667,0
1977-05-19 12:00:00,1977,5,19,13,17,14.5,0
1977-05-20 12:00:00,1977,5,20,14,15,14.2777777777778,0
1977-05-21 12:00:00,1977,5,21,10,17,13.7222222222222,0
1977-05-22 12:00:00,1977,5,22,13,16,14.4444444444444,0
1977-05-23 12:00:00,1977,5,23,6,18,11.5555555555556,0
1977-05-24 12:00:00,1977,5,24,4,18,12.5555555555556,0
1977-05-25 12:00:00,1977,5,25,2,21,10.8333333333333,0
1977-05-26 12:00:00,1977,5,26,3,20,10.6666666666667,0
1977-05-27 12:00:00,1977,5,27,NA,NA,NA,NA
1977-05-28 12:00:00,1977,5,28,6,20,14.0555555555556,0
1977-05-29 12:00:00,1977,5,29,8,15,11,0
1977-05-30 12:00:00,1977,5,30,13,17,14.2777777777778,0.508
1977-05-31 12:00:00,1977,5,31,11,14,12.6666666666667,13.97
1977-06-01 12:00:00,1977,6,1,14,16,14.6666666666667,7.112
1977-06-02 12:00:00,1977,6,2,14,16,15,22.098
1977-06-03 12:00:00,1977,6,3,13,16,14.2777777777778,6.096
1977-06-04 12:00:00,1977,6,4,11,16,13,0
1977-06-05 12:00:00,1977,6,5,9,17,13.1666666666667,0
1977-06-06 12:00:00,1977,6,6,14,16,15.2777777777778,0.254
1977-06-07 12:00:00,1977,6,7,15,17,15.8333333333333,10.922
1977-06-08 12:00:00,1977,6,8,14,16,15,3.048
1977-06-09 12:00:00,1977,6,9,12,16,14,2.032
1977-06-10 12:00:00,1977,6,10,13,15,13.3888888888889,0
1977-06-11 12:00:00,1977,6,11,10,16,12.7222222222222,27.94
1977-06-12 12:00:00,1977,6,12,9,17,12.8333333333333,0
1977-06-13 12:00:00,1977,6,13,10,17,13,0
1977-06-14 12:00:00,1977,6,14,5,21,13.8333333333333,0
1977-06-15 12:00:00,1977,6,15,9,25,16,0
1977-06-16 12:00:00,1977,6,16,9,23,14.8333333333333,0
1977-06-17 12:00:00,1977,6,17,13,26,20,0
1977-06-18 12:00:00,1977,6,18,15,24,19.1666666666667,0
1977-06-19 12:00:00,1977,6,19,13,14,13.8333333333333,8.89
1977-06-20 12:00:00,1977,6,20,11,18,14.8888888888889,2.032
1977-06-21 12:00:00,1977,6,21,10,15,12.8333333333333,11.938
1977-06-22 12:00:00,1977,6,22,13,17,14.8333333333333,23.114
1977-06-23 12:00:00,1977,6,23,12,16,14.1666666666667,21.082
1977-06-24 12:00:00,1977,6,24,12,14,13.1666666666667,0
1977-06-25 12:00:00,1977,6,25,9,13,10.6111111111111,NA
1977-06-26 12:00:00,1977,6,26,6,13,9.83333333333334,6.096
1977-06-27 12:00:00,1977,6,27,4,15,9.83333333333334,0
1977-06-28 12:00:00,1977,6,28,8,14,11.2777777777778,0
1977-06-29 12:00:00,1977,6,29,10,14,12,7.874
1977-06-30 12:00:00,1977,6,30,9,16,12.2777777777778,0
1977-07-01 12:00:00,1977,7,1,3,17,10.4444444444444,0
1977-07-02 12:00:00,1977,7,2,4,21,11.4444444444444,0
1977-07-03 12:00:00,1977,7,3,8,23,16,0
1977-07-04 12:00:00,1977,7,4,11,14,13,5.08
1977-07-05 12:00:00,1977,7,5,10,14,11.8333333333333,14.986
1977-07-06 12:00:00,1977,7,6,10,16,13,13.97
1977-07-07 12:00:00,1977,7,7,7,16,11.7222222222222,0
1977-07-08 12:00:00,1977,7,8,11,14,12.5,0
1977-07-09 12:00:00,1977,7,9,6,15,10.5,20.066
1977-07-10 12:00:00,1977,7,10,4,19,11.4444444444444,0
1977-07-11 12:00:00,1977,7,11,10,14,12.1666666666667,1.016
1977-07-12 12:00:00,1977,7,12,7,15,10.5555555555556,20.066
1977-07-13 12:00:00,1977,7,13,9,13,11.2777777777778,0
1977-07-14 12:00:00,1977,7,14,7,17,11.4444444444444,2.032
1977-07-15 12:00:00,1977,7,15,8,16,12.1666666666667,0
1977-07-16 12:00:00,1977,7,16,7,17,11.5555555555556,0
1977-07-17 12:00:00,1977,7,17,9,14,12,7.112
1977-07-18 12:00:00,1977,7,18,5,14,9.44444444444444,1.016
1977-07-19 12:00:00,1977,7,19,9,15,12,0
1977-07-20 12:00:00,1977,7,20,12,17,14.1666666666667,NA
1977-07-21 12:00:00,1977,7,21,11,18,14.4444444444444,0
1977-07-22 12:00:00,1977,7,22,7,17,11.8333333333333,0
1977-07-23 12:00:00,1977,7,23,6,17,11.8333333333333,0
1977-07-24 12:00:00,1977,7,24,10,16,12.8333333333333,0
1977-07-25 12:00:00,1977,7,25,4,15,9.72222222222222,0
1977-07-26 12:00:00,1977,7,26,12,15,13.2777777777778,0.508
1977-07-27 12:00:00,1977,7,27,12,16,13.6666666666667,7.874
1977-07-28 12:00:00,1977,7,28,12,16,13.2777777777778,0
1977-07-29 12:00:00,1977,7,29,8,12,11.1666666666667,11.938
1977-07-30 12:00:00,1977,7,30,5,13,8.5,3.048
1977-07-31 12:00:00,1977,7,31,3,20,10.5555555555556,0
1977-08-01 12:00:00,1977,8,1,5,21,10.8333333333333,0
1977-08-02 12:00:00,1977,8,2,11,18,14.2777777777778,0
1977-08-03 12:00:00,1977,8,3,9,13,11.1666666666667,19.05
1977-08-04 12:00:00,1977,8,4,4,14,9.16666666666667,2.032
1977-08-05 12:00:00,1977,8,5,3,16,9.44444444444444,0
1977-08-06 12:00:00,1977,8,6,7,16,11.2777777777778,0
1977-08-07 12:00:00,1977,8,7,9,18,12.8333333333333,0
1977-08-08 12:00:00,1977,8,8,6,27,16.3333333333333,0
1977-08-09 12:00:00,1977,8,9,12,19,15.8333333333333,0
1977-08-10 12:00:00,1977,8,10,12,15,13.5555555555556,0
1977-08-11 12:00:00,1977,8,11,10,20,14.2777777777778,0
1977-08-12 12:00:00,1977,8,12,6,25,14.7222222222222,0
1977-08-13 12:00:00,1977,8,13,16,26,20.5,0
1977-08-14 12:00:00,1977,8,14,14,20,16.7222222222222,0
1977-08-15 12:00:00,1977,8,15,14,16,14.5555555555556,4.064
1977-08-16 12:00:00,1977,8,16,11,14,12.5555555555556,23.114
1977-08-17 12:00:00,1977,8,17,11,14,12.2777777777778,6.096
1977-08-18 12:00:00,1977,8,18,13,16,14.2777777777778,26.924
1977-08-19 12:00:00,1977,8,19,14,15,14.1666666666667,22.098
1977-08-20 12:00:00,1977,8,20,13,16,14.3333333333333,13.97
1977-08-21 12:00:00,1977,8,21,9,13,11.1666666666667,6.096
1977-08-22 12:00:00,1977,8,22,7,15,10.8333333333333,0
1977-08-23 12:00:00,1977,8,23,3,17,11,0
1977-08-24 12:00:00,1977,8,24,4,20,11.7222222222222,0
1977-08-25 12:00:00,1977,8,25,12,17,14.1666666666667,0
1977-08-26 12:00:00,1977,8,26,7,17,12.5555555555556,0
1977-08-27 12:00:00,1977,8,27,8,15,12.2777777777778,NA
1977-08-28 12:00:00,1977,8,28,10,17,13.4444444444444,0
1977-08-29 12:00:00,1977,8,29,8,18,13.1666666666667,0
1977-08-30 12:00:00,1977,8,30,14,19,16,0
1977-08-31 12:00:00,1977,8,31,5,22,14.1666666666667,0
1977-09-01 12:00:00,1977,9,1,7,20,13.4444444444444,0
1977-09-02 12:00:00,1977,9,2,10,20,13.7222222222222,0
1977-09-03 12:00:00,1977,9,3,12,15,13.5555555555556,0
1977-09-04 12:00:00,1977,9,4,13,17,14.5555555555556,NA
1977-09-05 12:00:00,1977,9,5,11,18,14.1666666666667,0
1977-09-06 12:00:00,1977,9,6,9,24,15.2777777777778,0
1977-09-07 12:00:00,1977,9,7,10,19,13.7777777777778,NA
1977-09-08 12:00:00,1977,9,8,9,25,16,0
1977-09-09 12:00:00,1977,9,9,11,13,11.7777777777778,8.89
1977-09-10 12:00:00,1977,9,10,10,15,12,2.032
1977-09-11 12:00:00,1977,9,11,10,18,14,0.508
1977-09-12 12:00:00,1977,9,12,10,17,13.5555555555556,0
1977-09-13 12:00:00,1977,9,13,12,15,13.5,0
1977-09-14 12:00:00,1977,9,14,10,16,12.8333333333333,0
1977-09-15 12:00:00,1977,9,15,9,14,12.1111111111111,9.906
1977-09-16 12:00:00,1977,9,16,11,16,13.2777777777778,2.032
1977-09-17 12:00:00,1977,9,17,10,16,12.7222222222222,1.016
1977-09-18 12:00:00,1977,9,18,6,17,11.8333333333333,0
1977-09-19 12:00:00,1977,9,19,12,14,13,4.064
1977-09-20 12:00:00,1977,9,20,11,20,15.4444444444444,1.016
1977-09-21 12:00:00,1977,9,21,12,19,15.4444444444444,0
1977-09-22 12:00:00,1977,9,22,12,20,15.7222222222222,0
1977-09-23 12:00:00,1977,9,23,13,17,15,0
1977-09-24 12:00:00,1977,9,24,13,20,15.5555555555556,0
1977-09-25 12:00:00,1977,9,25,12,22,16.2777777777778,0
1977-09-26 12:00:00,1977,9,26,14,19,16,0
1977-09-27 12:00:00,1977,9,27,14,24,17.8333333333333,0
1977-09-28 12:00:00,1977,9,28,11,23,17,0
1977-09-29 12:00:00,1977,9,29,13,19,15.6666666666667,0
1977-09-30 12:00:00,1977,9,30,15,27,19.8333333333333,0
1977-10-01 12:00:00,1977,10,1,14,27,19.8888888888889,0
1977-10-02 12:00:00,1977,10,2,15,17,15.5555555555556,0
1977-10-03 12:00:00,1977,10,3,14,18,15.5,3.048
1977-10-04 12:00:00,1977,10,4,9,20,14.7222222222222,0
1977-10-05 12:00:00,1977,10,5,10,18,14.1666666666667,0
1977-10-06 12:00:00,1977,10,6,12,15,13.4444444444444,NA
1977-10-07 12:00:00,1977,10,7,10,15,12.7222222222222,6.096
1977-10-08 12:00:00,1977,10,8,5,18,11.7222222222222,0
1977-10-09 12:00:00,1977,10,9,11,18,14.3888888888889,0
1977-10-10 12:00:00,1977,10,10,12,19,14.4444444444444,0
1977-10-11 12:00:00,1977,10,11,7,16,12.1666666666667,NA
1977-10-12 12:00:00,1977,10,12,8,17,12.4444444444444,0
1977-10-13 12:00:00,1977,10,13,13,17,14.7222222222222,0
1977-10-14 12:00:00,1977,10,14,11,21,15.8333333333333,0
1977-10-15 12:00:00,1977,10,15,9,22,16,0
1977-10-16 12:00:00,1977,10,16,15,19,16.5555555555556,0.254
1977-10-17 12:00:00,1977,10,17,11,19,15.1666666666667,0
1977-10-18 12:00:00,1977,10,18,12,18,15,1.016
1977-10-19 12:00:00,1977,10,19,11,26,17.7222222222222,0
1977-10-20 12:00:00,1977,10,20,15,21,17.6111111111111,0
1977-10-21 12:00:00,1977,10,21,15,21,17.7222222222222,0
1977-10-22 12:00:00,1977,10,22,14,20,16.8333333333333,0
1977-10-23 12:00:00,1977,10,23,12,21,16.2777777777778,0
1977-10-24 12:00:00,1977,10,24,9,21,15.7222222222222,0
1977-10-25 12:00:00,1977,10,25,12,25,18,0
1977-10-26 12:00:00,1977,10,26,15,24,18.8333333333333,0
1977-10-27 12:00:00,1977,10,27,16,22,18.5,0
1977-10-28 12:00:00,1977,10,28,15,21,18,0
1977-10-29 12:00:00,1977,10,29,11,20,16.2777777777778,0.254
1977-10-30 12:00:00,1977,10,30,14,23,18.1666666666667,0
1977-10-31 12:00:00,1977,10,31,16,25,20.5555555555556,0
1977-11-01 12:00:00,1977,11,1,18,23,20,0
1977-11-02 12:00:00,1977,11,2,15,28,21.8333333333333,0
1977-11-03 12:00:00,1977,11,3,14,22,18.5555555555556,0
1977-11-04 12:00:00,1977,11,4,16,26,20.7222222222222,0
1977-11-05 12:00:00,1977,11,5,12,28,20.2777777777778,0
1977-11-06 12:00:00,1977,11,6,16,23,19.6666666666667,0
1977-11-07 12:00:00,1977,11,7,17,25,21.1666666666667,0
1977-11-08 12:00:00,1977,11,8,17,22,18.5555555555556,0
1977-11-09 12:00:00,1977,11,9,15,20,17.4444444444444,0
1977-11-10 12:00:00,1977,11,10,15,21,17.7222222222222,0
1977-11-11 12:00:00,1977,11,11,15,23,18.2777777777778,1.016
1977-11-12 12:00:00,1977,11,12,15,23,18.8333333333333,0
1977-11-13 12:00:00,1977,11,13,15,21,17.8333333333333,0
1977-11-14 12:00:00,1977,11,14,13,22,18.4444444444444,0
1977-11-15 12:00:00,1977,11,15,14,24,18.5,0
1977-11-16 12:00:00,1977,11,16,17,25,21.5555555555556,0
1977-11-17 12:00:00,1977,11,17,18,24,21.1666666666667,0
1977-11-18 12:00:00,1977,11,18,16,23,19.1666666666667,0
1977-11-19 12:00:00,1977,11,19,15,21,17.7222222222222,0
1977-11-20 12:00:00,1977,11,20,15,24,18.8333333333333,0
1977-11-21 12:00:00,1977,11,21,13,23,18.5555555555556,0
1977-11-22 12:00:00,1977,11,22,15,21,18.1666666666667,0
1977-11-23 12:00:00,1977,11,23,12,24,18.5555555555556,0.508
1977-11-24 12:00:00,1977,11,24,15,25,19.8333333333333,0
1977-11-25 12:00:00,1977,11,25,15,25,20.4444444444444,0
1977-11-26 12:00:00,1977,11,26,17,29,22.5555555555556,0
1977-11-27 12:00:00,1977,11,27,16,24,19.8333333333333,0
1977-11-28 12:00:00,1977,11,28,17,21,18.8333333333333,0
1977-11-29 12:00:00,1977,11,29,16,22,18.6666666666667,0
1977-11-30 12:00:00,1977,11,30,16,26,19.5,NA
1977-12-01 12:00:00,1977,12,1,16,18,17,NA
1977-12-02 12:00:00,1977,12,2,16,23,19,2.032
1977-12-03 12:00:00,1977,12,3,17,25,20.4444444444444,0
1977-12-04 12:00:00,1977,12,4,15,29,23,0
1977-12-05 12:00:00,1977,12,5,16,24,20.8333333333333,0
1977-12-06 12:00:00,1977,12,6,15,25,20.2777777777778,0
1977-12-07 12:00:00,1977,12,7,15,22,19.1666666666667,0
1977-12-08 12:00:00,1977,12,8,14,23,18.8333333333333,0
1977-12-09 12:00:00,1977,12,9,12,21,17.8333333333333,0
1977-12-10 12:00:00,1977,12,10,18,21,19.8333333333333,2.032
1977-12-11 12:00:00,1977,12,11,19,23,20.5,0
1977-12-12 12:00:00,1977,12,12,18,28,22.7777777777778,0
1977-12-13 12:00:00,1977,12,13,NA,NA,NA,NA
1977-12-14 12:00:00,1977,12,14,17,22,19.2777777777778,0
1977-12-15 12:00:00,1977,12,15,17,29,21.8333333333333,0
1977-12-16 12:00:00,1977,12,16,19,24,22,0
1977-12-17 12:00:00,1977,12,17,17,25,21.1666666666667,0.254
1977-12-18 12:00:00,1977,12,18,17,24,19.5,0
1977-12-19 12:00:00,1977,12,19,16,21,18.4444444444444,0
1977-12-20 12:00:00,1977,12,20,15,23,19.2777777777778,0
1977-12-21 12:00:00,1977,12,21,18,25,21.2777777777778,0
1977-12-22 12:00:00,1977,12,22,16,23,20,0
1977-12-23 12:00:00,1977,12,23,17,26,21.4444444444444,0
1977-12-24 12:00:00,1977,12,24,16,33,23.7222222222222,0
1977-12-25 12:00:00,1977,12,25,18,25,21.5,7.874
1977-12-26 12:00:00,1977,12,26,19,28,22.8333333333333,0
1977-12-27 12:00:00,1977,12,27,18,27,22.5555555555556,0
1977-12-28 12:00:00,1977,12,28,17,24,20.8333333333333,0
1977-12-29 12:00:00,1977,12,29,18,23,20.5555555555556,0
1977-12-30 12:00:00,1977,12,30,18,25,20.2777777777778,0
1977-12-31 12:00:00,1977,12,31,18,25,21.4444444444444,4.064
1978-01-01 12:00:00,1978,1,1,15,28,21.4444444444444,0
1978-01-02 12:00:00,1978,1,2,17,26,21.1666666666667,0
1978-01-03 12:00:00,1978,1,3,19,26,22.7222222222222,0
1978-01-04 12:00:00,1978,1,4,16,25,20.5555555555556,0
1978-01-05 12:00:00,1978,1,5,17,23,19.4444444444444,0
1978-01-06 12:00:00,1978,1,6,13,23,18.7222222222222,3.048
1978-01-07 12:00:00,1978,1,7,16,23,20.1666666666667,0
1978-01-08 12:00:00,1978,1,8,16,33,24.8333333333333,0
1978-01-09 12:00:00,1978,1,9,20,30,23.8333333333333,0
1978-01-10 12:00:00,1978,1,10,15,23,19.4444444444444,NA
1978-01-11 12:00:00,1978,1,11,16,22,19.2777777777778,1.016
1978-01-12 12:00:00,1978,1,12,14,23,19.7222222222222,0.508
1978-01-13 12:00:00,1978,1,13,16,26,21.3888888888889,0
1978-01-14 12:00:00,1978,1,14,16,25,20.5555555555556,0
1978-01-15 12:00:00,1978,1,15,17,25,21.1666666666667,0
1978-01-16 12:00:00,1978,1,16,14,29,20.4444444444444,0
1978-01-17 12:00:00,1978,1,17,16,24,20,NA
1978-01-18 12:00:00,1978,1,18,17,24,21,0
1978-01-19 12:00:00,1978,1,19,19,25,21.7222222222222,0
1978-01-20 12:00:00,1978,1,20,18,24,21.7222222222222,0
1978-01-21 12:00:00,1978,1,21,19,31,25.5555555555556,0
1978-01-22 12:00:00,1978,1,22,24,35,28.7222222222222,0
1978-01-23 12:00:00,1978,1,23,23,31,27.2777777777778,0
1978-01-24 12:00:00,1978,1,24,21,26,23,0
1978-01-25 12:00:00,1978,1,25,18,22,20.4444444444444,NA
1978-01-26 12:00:00,1978,1,26,17,21,18.6666666666667,7.874
1978-01-27 12:00:00,1978,1,27,14,22,18.7222222222222,0
1978-01-28 12:00:00,1978,1,28,15,24,19.5555555555556,0
1978-01-29 12:00:00,1978,1,29,19,26,22.4444444444444,0
1978-01-30 12:00:00,1978,1,30,19,26,22,0
1978-01-31 12:00:00,1978,1,31,19,27,23.1666666666667,0
1978-02-01 12:00:00,1978,2,1,16,28,22,0
1978-02-02 12:00:00,1978,2,2,16,24,20,0
1978-02-03 12:00:00,1978,2,3,16,23,19.8333333333333,0
1978-02-04 12:00:00,1978,2,4,14,25,19.8333333333333,0
1978-02-05 12:00:00,1978,2,5,18,27,22.2777777777778,0
1978-02-06 12:00:00,1978,2,6,16,26,22.1666666666667,0
1978-02-07 12:00:00,1978,2,7,19,23,21.4444444444444,0
1978-02-08 12:00:00,1978,2,8,18,25,21.5555555555556,0
1978-02-09 12:00:00,1978,2,9,18,25,21.5555555555556,0
1978-02-10 12:00:00,1978,2,10,19,23,21,0
1978-02-11 12:00:00,1978,2,11,16,27,20.5555555555556,0
1978-02-12 12:00:00,1978,2,12,16,22,18.4444444444444,3.048
1978-02-13 12:00:00,1978,2,13,13,21,17.4444444444444,2.032
1978-02-14 12:00:00,1978,2,14,12,24,17.7222222222222,0
1978-02-15 12:00:00,1978,2,15,14,23,18.8333333333333,2.032
1978-02-16 12:00:00,1978,2,16,18,24,20.5,0
1978-02-17 12:00:00,1978,2,17,19,27,22.8333333333333,0
1978-02-18 12:00:00,1978,2,18,18,28,22.5555555555556,0
1978-02-19 12:00:00,1978,2,19,19,25,22,0
1978-02-20 12:00:00,1978,2,20,17,20,18.2777777777778,0
1978-02-21 12:00:00,1978,2,21,15,23,19.1666666666667,14.986
