"","Month","Tmin","Tmax","Chill_eff","Heat_eff"
"2",4,-20,-15,0,0
"3",4,-20,-14,0,0
"4",4,-20,-13,0,0
"5",4,-20,-12,0,0
"6",4,-20,-11,0,0
"7",4,-20,-10,0,0
"8",4,-20,-9,0,0
"9",4,-20,-8,0,0
"10",4,-20,-7,0,0
"11",4,-20,-6,0,0
"12",4,-20,-5,0,0
"13",4,-20,-4,0,0
"14",4,-20,-3,0,0
"15",4,-20,-2,0,0
"16",4,-20,-1,6.85023355119454e-09,0
"17",4,-20,0,3.93682831687664e-06,0
"18",4,-20,1,0.00186444665521342,0
"19",4,-20,2,0.44715207341568,5.43397350789565e-05
"20",4,-20,3,0.887709395981874,0.00724616507101997
"21",4,-20,4,0.780911856969007,0.0339589411185376
"22",4,-20,5,0.911396276283967,0.0877221592824999
"23",4,-20,6,0.828237582934632,0.172286712558691
"24",4,-20,7,0.77540115950576,0.286875186849144
"25",4,-20,8,0.983900479269316,0.435527574495405
"26",4,-20,9,1.00585646937555,0.619696664488849
"27",4,-20,10,1.0049686484849,0.837070995872056
"28",4,-20,11,1.00221053648579,1.08492635257502
"29",4,-20,12,0.796925451637516,1.36029365862422
"30",4,-20,13,0.816304638891632,1.66112457208222
"31",4,-20,14,0.992554246696081,1.98590666975662
"32",4,-20,15,1.00508137257726,2.33190215683367
"33",4,-20,16,0.9963577231422,2.69579079731084
"34",4,-20,17,0.985773511577529,3.07361932147864
"35",4,-20,18,0.944335948336774,3.46096258905237
"36",4,-20,19,0.542126877517488,3.85332698009561
"37",4,-20,20,0.491922719616426,4.24621176120292
"38",4,-20,21,0.378075737055629,4.63519825716279
"39",4,-20,22,0.130363643575095,5.01625612607051
"40",4,-20,23,0,5.38561151449517
"41",4,-20,24,0,5.73972363139772
"42",4,-20,25,0,6.0756732347931
"43",4,-20,26,0,6.39090859172434
"44",4,-20,27,0,6.68267327306493
"45",4,-20,28,0,6.94815607862027
"46",4,-20,29,0,7.01381525070326
"47",4,-20,30,0,6.60291689836297
"48",4,-19,-15,0,0
"49",4,-19,-14,0,0
"50",4,-19,-13,0,0
"51",4,-19,-12,0,0
"52",4,-19,-11,0,0
"53",4,-19,-10,0,0
"54",4,-19,-9,0,0
"55",4,-19,-8,0,0
"56",4,-19,-7,0,0
"57",4,-19,-6,0,0
"58",4,-19,-5,0,0
"59",4,-19,-4,0,0
"60",4,-19,-3,0,0
"61",4,-19,-2,0,0
"62",4,-19,-1,6.77329853323882e-09,0
"63",4,-19,0,3.96365076703032e-06,0
"64",4,-19,1,0.00187533755314371,0
"65",4,-19,2,0.452241690937108,5.43397350789565e-05
"66",4,-19,3,0.904009879171257,0.00743695027058615
"67",4,-19,4,0.736790409397877,0.0346185635389062
"68",4,-19,5,0.976963258118923,0.089724471564181
"69",4,-19,6,0.982904598912978,0.175607073800095
"70",4,-19,7,0.827870436216021,0.292063865757354
"71",4,-19,8,1.00801543154018,0.444008201042573
"72",4,-19,9,1.01515358432772,0.631394644676895
"73",4,-19,10,1.01353501839323,0.851858232620126
"74",4,-19,11,0.948692101670032,1.10264407259684
"75",4,-19,12,0.795018304051248,1.38114243327127
"76",4,-19,13,0.919266149815938,1.68598136931764
"77",4,-19,14,1.01787915507533,2.01526929566852
"78",4,-19,15,1.01267140491706,2.36597502129791
"79",4,-19,16,1.00311793250153,2.73455042437157
"80",4,-19,17,0.992038615898371,3.11671016764529
"81",4,-19,18,0.979642137625934,3.50799032741245
"82",4,-19,19,0.724897938502515,3.903869683984
"83",4,-19,20,0.459427180083647,4.29984219286356
"84",4,-19,21,0.408036569339795,4.69171942158147
"85",4,-19,22,0.288619904391819,5.07558440318156
