"Month","Tmin","Tmax","Dynamic_Model","GDH"
4,-10,-5,1.4950766411315e-05,0
4,-10,-4,6.97109014603462e-05,0
4,-10,-3,0.000324788965432026,0
4,-10,-2,0.00150379917593437,0
4,-10,-1,0.00686561854661265,0
4,-10,0,0.0301636602278886,0
4,-10,1,0.116929888568413,0
4,-10,2,0.322988051633713,0
4,-10,3,0.526851390587207,0
4,-10,4,0.560709951799859,0
4,-10,5,0.57249230211035,0.235546017155123
4,-10,6,0.597252958737598,1.27831000283993
4,-10,7,0.611498961241617,3.4027588105237
4,-10,8,0.617885544358289,6.72376608698517
4,-10,9,0.630012896643935,11.3056981363671
4,-10,10,0.634456685867217,17.1499413478944
4,-10,11,0.620294153866761,24.1793545950803
4,-10,12,0.61321150782304,32.2891883542197
4,-10,13,0.619450425569108,41.375270715036
4,-10,14,0.587002587951479,51.3027124569945
4,-10,15,0.585754656979414,61.9078717518373
4,-10,16,0.542846005828651,73.0088784862729
4,-10,17,0.523502324759413,84.4096754494656
4,-10,18,0.49250197295848,95.9151593678818
4,-10,19,0.450651366612833,107.335734822326
4,-10,20,0.402045913403738,118.485607486165
4,-10,21,0.386399086627249,129.191258815938
4,-10,22,0.223747437481346,139.287015039141
4,-10,23,0.0253650271301423,148.615615498344
4,-10,24,0,157.038363960357
4,-10,25,0,164.43466070912
4,-10,26,0,166.100592621983
4,-10,27,0,163.121485704219
4,-10,28,0,158.298712759563
4,-10,29,0,150.882981874407
4,-10,30,0,142.561687681487
4,-9,-5,1.60835371717178e-05,0
4,-9,-4,7.34326526078484e-05,0
4,-9,-3,0.000337915804969707,0
4,-9,-2,0.00155230848828956,0
4,-9,-1,0.00705020579317423,0
4,-9,0,0.0308700281519067,0
4,-9,1,0.11948528254734,0
4,-9,2,0.330333909110903,0
4,-9,3,0.537245691789347,0
4,-9,4,0.572317962143094,0
4,-9,5,0.583387605091993,0.243107138332369
4,-9,6,0.611126518481148,1.32128969350991
4,-9,7,0.621638155937897,3.50797470187719
4,-9,8,0.63653978091872,6.92018076279785
4,-9,9,0.641304664723695,11.6262293204365
4,-9,10,0.63985691287677,17.6067256254936
4,-9,11,0.625356184279576,24.7786983038156
4,-9,12,0.64119985249821,33.0498150465651
4,-9,13,0.633721887157143,42.3121867553257
4,-9,14,0.611060188683365,52.4192804547103
4,-9,15,0.567323844869707,63.2016859959016
4,-9,16,0.552257118124743,74.4691741797327
4,-9,17,0.543173899691243,86.0276859789828
4,-9,18,0.495389702316226,97.6858932763405
4,-9,19,0.448980777116654,109.252887478398
4,-9,20,0.429203010890697,120.546909265928
4,-9,21,0.431978233525814,131.388141014217
4,-9,22,0.220384176860447,141.603948422263
4,-9,23,0.0456817891982725,151.036893546197
4,-9,24,0,159.545419749743
4,-9,25,0,167.010731726146
4,-9,26,0,168.619127355959
4,-9,27,0,165.694868228609
4,-9,28,0,160.704754017597
4,-9,29,0,153.093314561714
4,-9,30,0,144.832857565953
4,-8,-5,1.79994436412584e-05,0
4,-8,-4,7.89777894360727e-05,0
4,-8,-3,0.000355854856061494,0
4,-8,-2,0.00161457799088993,0
4,-8,-1,0.0072754942412982,0
4,-8,0,0.0316943085877929,0
4,-8,1,0.122332186757843,0
4,-8,2,0.338105170661007,0
4,-8,3,0.547473845528896,0
4,-8,4,0.58482392107549,0
4,-8,5,0.600762170970375,0.251589339684928
4,-8,6,0.623074051834943,1.36850017717454
4,-8,7,0.628829019354051,3.62338807625513
4,-8,8,0.650711035166988,7.13770608934716
4,-8,9,0.654275211960247,11.9746507991705
4,-8,10,0.643745518581436,18.0964005892197
4,-8,11,0.64408959602978,25.4225380034601
4,-8,12,0.658417537865084,33.8704481591746
4,-8,13,0.640378318388716,43.3186061541852
4,-8,14,0.611751773844155,53.6135446938402
4,-8,15,0.572572351258087,64.5754782294267
4,-8,16,0.575684994020663,76.01492228401
4,-8,17,0.537978782744958,87.7423202260895
4,-8,18,0.492741280125016,99.5652878561437
4,-8,19,0.476225161663731,111.296765448872
4,-8,20,0.44999957788759,122.745827476388
4,-8,21,0.404168344648782,133.727332704661
4,-8,22,0.246125580145462,144.066933187969
4,-8,23,0.0610314551166776,153.605073223351
4,-8,24,0,162.204510232284
4,-8,25,0,169.748269214082
4,-8,26,0,171.301702739959
4,-8,27,0,168.430599679432
4,-8,28,0,163.253978136988
4,-8,29,0,155.475788439712
4,-8,30,0,147.217208416602
4,-7,-5,2.18903727533985e-05,0
4,-7,-4,8.83878226555476e-05,0
4,-7,-3,0.000382683006643978,0
4,-7,-2,0.00169997890674551,0
4,-7,-1,0.00756532989252285,0
4,-7,0,0.0326985905682458,0
4,-7,1,0.125601703311269,0
4,-7,2,0.346553186641709,0
4,-7,3,0.557246096861678,0
4,-7,4,0.59295673789834,0
4,-7,5,0.618093956735271,0.261230625826127
4,-7,6,0.632249180003672,1.42100589191372
4,-7,7,0.641289262559377,3.75091906181655
4,-7,8,0.66323668250861,7.37912152607138
4,-7,9,0.659599970610132,12.3533386538867
4,-7,10,0.649753080781946,18.622869246621
4,-7,11,0.675260988590577,26.1210249742435
4,-7,12,0.666462716144327,34.7587049962502
4,-7,13,0.633796001986496,44.4029706195744
4,-7,14,0.602993007580799,54.889479846472
4,-7,15,0.598992024181751,66.0368747903728
4,-7,16,0.578873901375986,77.6609194201375
4,-7,17,0.530376153479595,89.5716020527835
4,-7,18,0.519967587750764,101.579431658258
4,-7,19,0.503105201299406,113.485977048327
4,-7,20,0.412907741471429,125.096273477151
4,-7,21,0.415802675038581,136.221831464819
4,-7,22,0.264239691192211,146.688775309641
4,-7,23,0.0670795274998937,156.342210518679
4,-7,24,0,165.039954234996
4,-7,25,0,172.662217433296
4,-7,26,0,174.163591787334
4,-7,27,0,171.333746330214
4,-7,28,0,165.969833824925
4,-7,29,0,158.064552468601
4,-7,30,0,149.771583100369
4,-6,-5,3.17138557339035e-05,0
4,-6,-4,0.000107517891271282,0
4,-6,-3,0.000428331863264078,0
4,-6,-2,0.00182803165648992,0
4,-6,-1,0.00796335206233539,0
4,-6,0,0.0339847090668244,0
4,-6,1,0.129497011190328,0
4,-6,2,0.355862323168621,0
4,-6,3,0.566317829491182,0
4,-6,4,0.597617838685087,0
4,-6,5,0.624805320302537,0.272422609500388
4,-6,6,0.639673678188684,1.47981641212228
4,-6,7,0.658250973392065,3.89307567293154
4,-6,8,0.672164733429111,7.6470667001615
4,-6,9,0.663083310676748,12.7649847397894
4,-6,10,0.673568231774468,19.1964741061036
4,-6,11,0.691777758014644,26.8843053681939
4,-6,12,0.66436462954429,35.7236561138336
4,-6,13,0.627517923075954,45.5703193965711
4,-6,14,0.627305720313704,56.2548755695213
4,-6,15,0.61449601756275,67.6019672933198
4,-6,16,0.563503149769999,79.4278796694585
4,-6,17,0.56044113161638,91.5436599520487
4,-6,18,0.549494280348941,103.747273354645
4,-6,19,0.45999097654153,115.836388563413
4,-6,20,0.430268878184476,127.612558449503
4,-6,21,0.427458652030666,138.891161959554
4,-6,22,0.291662280935537,149.497207425375
4,-6,23,0.0728446930848317,159.269605391474
4,-6,24,0,168.068905852449
4,-6,25,0,175.776253466023
4,-6,26,0,177.233963602324
4,-6,27,0,174.428581738092
4,-6,28,0,168.900575326795
4,-6,29,0,160.899715050731
4,-6,30,0,152.524962971726
4,-5,-5,6.20749198690752e-05,0
4,-5,-4,0.000155668561064923,0
4,-5,-3,0.00052115335280936,0
4,-5,-2,0.00204619081334332,0
4,-5,-1,0.00856030551297663,0
4,-5,0,0.0357398139488324,0
4,-5,1,0.134359164185235,0
4,-5,2,0.366409459333461,0
4,-5,3,0.57529412336655,0
4,-5,4,0.603862427749994,0
4,-5,5,0.637634545215638,0.285690010670549
4,-5,6,0.647254256144849,1.5461256548568
4,-5,7,0.676772437201728,4.05507400080067
4,-5,8,0.677375023585504,7.94447748471098
4,-5,9,0.668583415576871,13.2144337255957
4,-5,10,0.700496463997262,19.8292424843541
4,-5,11,0.693896533063681,27.7216141436785
4,-5,12,0.654606413096705,36.7724550864221
4,-5,13,0.644803087100692,46.8286400489038
4,-5,14,0.633689141269093,57.7272152420271
4,-5,15,0.603362201746027,69.2946990345065
4,-5,16,0.600347389972985,81.3457418708964
4,-5,17,0.582511434594866,93.6785507084466
4,-5,18,0.497593042173794,106.0864426065
4,-5,19,0.463136145710138,118.366263233013
4,-5,20,0.421910149815143,130.322317032745
4,-5,21,0.430345389127426,141.763122683601
4,-5,22,0.284374842961923,152.513232211666
4,-5,23,0.0786675583134777,162.413033197061
4,-5,24,0,171.325376079201
4,-5,25,0,179.135596220655
4,-5,26,0,180.56630205733
4,-5,27,0,177.766383068437
4,-5,28,0,172.058990565198
4,-5,29,0,163.979851809409
4,-5,30,0,155.487339792108
4,-4,-4,0.000303395446670008,0
4,-4,-3,0.000753940734113218,0
4,-4,-2,0.00248940946285471,0
4,-4,-1,0.00957652514301214,0
4,-4,0,0.0383551265569001,0
4,-4,1,0.140843348276086,0
4,-4,2,0.3788243558473,0
4,-4,3,0.582776219985565,0
4,-4,4,0.613734068735397,0
4,-4,5,0.648502792943514,0.30175665293652
4,-4,6,0.661298823370498,1.62185708489784
4,-4,7,0.687676378571539,4.24117682411286
4,-4,8,0.673959888154836,8.27460140904683
4,-4,9,0.693519899044962,13.7142036848747
4,-4,10,0.712018031311983,20.5324482176889
4,-4,11,0.681891303970064,28.6428114342041
4,-4,12,0.672454084051692,37.9133392339488
4,-4,13,0.666484670173542,48.196965299362
4,-4,14,0.647459585070024,59.3342861026792
4,-4,15,0.63604247882019,71.146811033141
4,-4,16,0.598065156210606,83.4364052248262
4,-4,17,0.537405348530101,95.9965184646619
4,-4,18,0.516169824263195,108.623011963343
4,-4,19,0.473865458675776,121.108535994153
4,-4,20,0.427471597983879,133.253029788521
4,-4,21,0.436102105208707,144.86649872713
4,-4,22,0.248326846293557,155.776171269652
4,-4,23,0.0841940870125756,165.82429200012
4,-4,24,0,174.866144166281
4,-4,25,0,182.77913870222
4,-4,26,0,184.172714461823
4,-4,27,0,181.355281174686
4,-4,28,0,175.475005849639
4,-4,29,0,167.363776188001
4,-4,30,0,158.740563294332
4,-3,-3,0.00146236690571,0
4,-3,-2,0.00359543708664041,0
4,-3,-1,0.0116336021663962,0
4,-3,0,0.0427705519817699,0
4,-3,1,0.150230729481841,0
4,-3,2,0.394206573607781,0
4,-3,3,0.590965965399829,0
4,-3,4,0.626603865380663,0
4,-3,5,0.669378442217139,0.320941118083478
4,-3,6,0.677220560637345,1.70983003423387
4,-3,7,0.689517404440127,4.45504750015647
4,-3,8,0.686569638168387,8.64358949122895
4,-3,9,0.716458194614718,14.2787556068495
4,-3,10,0.701332842282699,21.3180538127959
4,-3,11,0.688213533914309,29.6567430195701
4,-3,12,0.694438663922074,39.1671359102547
4,-3,13,0.686057656014413,49.707590388989
4,-3,14,0.663730525070337,61.1098890593474
4,-3,15,0.591166710473567,73.1827083169317
4,-3,16,0.572125724725266,85.7258963530222
4,-3,17,0.552633827294394,98.5326071973144
4,-3,18,0.523259671582107,111.391954849552
4,-3,19,0.478216145236269,124.096585285921
4,-3,20,0.439777090509146,136.449749645199
4,-3,21,0.411602367411066,148.260444576056
4,-3,22,0.215779920754868,159.34615173889
4,-3,23,0.0869359768870736,169.541805686793
4,-3,24,0,178.706907533949
4,-3,25,0,186.729493175217
4,-3,26,0,188.106745560117
4,-3,27,0,185.277137945391
4,-3,28,0,179.222184652115
4,-3,29,0,171.098219262605
4,-3,30,0,162.298863044513
4,-2,-2,0.00692258747025672,0
4,-2,-1,0.0167124761919742,0
4,-2,0,0.0515753285516145,0
4,-2,1,0.165517195542011,0
4,-2,2,0.414685291254603,0
4,-2,3,0.600577128683911,0
4,-2,4,0.631173749105983,0
4,-2,5,0.676688133098519,0.343582960771965
4,-2,6,0.697154254660805,1.8150858504439
4,-2,7,0.682358785763529,4.70086865876508
4,-2,8,0.717654784437147,9.06725951536524
4,-2,9,0.708806106167541,14.9220399274335
4,-2,10,0.700416050024893,22.1964900206032
4,-2,11,0.707387920644963,30.7864138589059
4,-2,12,0.712869837914939,40.5714009870189
4,-2,13,0.696150109568477,51.3968278575175
4,-2,14,0.614690216091122,63.0827362114365
4,-2,15,0.603383251386094,75.4377066854243
4,-2,16,0.554089863313646,88.25590611488
4,-2,17,0.569596987340727,101.327445755168
4,-2,18,0.527428454963177,114.44526071957
4,-2,19,0.483427991051942,127.39775218562
4,-2,20,0.406757804389557,139.976160858247
4,-2,21,0.374277287196773,151.985080596055
4,-2,22,0.236897292454152,163.252032467992
4,-2,23,0.0942791765572312,173.614772710333
4,-2,24,0,182.928542896564
4,-2,25,0,191.07173380774
4,-2,26,0,192.42796906019
4,-2,27,0,189.560278968205
4,-2,28,0,183.312664512419
4,-2,29,0,175.219387658215
4,-2,30,0,166.238102837933
4,-1,-1,0.0315886839560239,0
4,-1,0,0.0726011700443222,0
4,-1,1,0.194388477321985,0
4,-1,2,0.444820591963943,0
4,-1,3,0.610949534475415,0
4,-1,4,0.642947307933376,0
4,-1,5,0.700759826386516,0.371529850993477
4,-1,6,0.694246775121171,1.9445664751381
4,-1,7,0.711588729591542,4.98679641542146
4,-1,8,0.716888542076105,9.56349779307557
4,-1,9,0.707348750317971,15.6575370117395
4,-1,10,0.716842422842193,23.193561971772
4,-1,11,0.722485236488664,32.0756484060911
4,-1,12,0.717673431228769,42.1660282730755
4,-1,13,0.679748822873318,53.3017801617569
4,-1,14,0.65595292675715,65.2995289181081
4,-1,15,0.632534264517463,77.9623428411596
4,-1,16,0.620108806515557,91.0874553069306
4,-1,17,0.534708936739642,104.457295563217
4,-1,18,0.505284245149684,117.851457968388
4,-1,19,0.427446636049163,131.062082111133
4,-1,20,0.419549830849668,143.884619487035
4,-1,21,0.403920155712868,156.120329160546
4,-1,22,0.238346968677316,167.585609787229
4,-1,23,0.0891211350711618,178.118275154918
4,-1,24,0,187.580787746835
4,-1,25,0,195.853557746694
4,-1,26,0,197.207245796438
4,-1,27,0,194.301975113653
4,-1,28,0,187.830310196485
4,-1,29,0,179.741110291368
4,-1,30,0,170.610232751483
4,0,0,0.129220937519129,0
4,0,1,0.256529031740535,0
4,0,2,0.494619855080402,0
4,0,3,0.622076308336535,0
4,0,4,0.661560015920515,0
4,0,5,0.723863073680491,0.407192255827033
4,0,6,0.706603426231284,2.10411787042737
4,0,7,0.725424753153245,5.33395865289104
4,0,8,0.722941864292957,10.1498376651619
4,0,9,0.728423726801163,16.5147388284331
4,0,10,0.730505747410837,24.3606257690695
4,0,11,0.723544941764032,33.5712549346067
4,0,12,0.703590214301333,44.0016667265349
4,0,13,0.700900769211314,55.4836042740419
4,0,14,0.67595646078143,67.8334001155134
4,0,15,0.594061681037396,80.8429835222261
4,0,16,0.590626129637263,94.3009009578058
4,0,17,0.5106397291987,107.992457672951
4,0,18,0.496633192126104,121.694366808515
4,0,19,0.468746634450553,135.188476216858
4,0,20,0.439450958876738,148.270859506707
4,0,21,0.387402763283345,160.745023184428
4,0,22,0.249839389720898,172.42711781457
4,0,23,0.0688682691675239,183.151750245272
4,0,24,0,192.774949553552
4,0,25,0,201.17703331689
4,0,26,0,202.517875507541
4,0,27,0,199.54310241726
4,0,28,0,192.852312691064
4,0,29,0,184.708856911966
4,0,30,0,175.446776776125
4,1,1,0.389414304296752,0
4,1,2,0.581724016166402,0
4,1,3,0.641740878557478,0
4,1,4,0.682473706760432,0
4,1,5,0.747963799349064,0.455705727401946
4,1,6,0.747348730089407,2.30572638466216
4,1,7,0.744282778348124,5.76629587512851
4,1,8,0.753637736192192,10.8613300037652
4,1,9,0.762726660826617,17.5551771413726
4,1,10,0.746739515867733,25.7577356334016
4,1,11,0.730815791980206,35.3455377638277
4,1,12,0.716347237226324,46.1679586789924
4,1,13,0.687213246221888,58.0453958943473
4,1,14,0.660858677221049,70.7873552906176
4,1,15,0.511182734795218,84.1810361127967
4,1,16,0.594582430562431,98.0102879680141
4,1,17,0.305531282461319,112.055050185279
4,1,18,0.517735688433396,126.090236504106
